,hour,station,lat,lon,k,CO_interpolate,CO_REAL,CODiff,NO2_interpolate,NO2_REAL,NO2Diff,PM25_interpolate,PM25_REAL,PM25Diff
0,1,7,-12.045286,-77.030902,2,1968.23,169.519,3235361.262,56.082,31.954,582.160384,20.02,65.46,2064.7936
1,1,7,-12.045286,-77.030902,3,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
2,1,7,-12.045286,-77.030902,4,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
3,1,7,-12.045286,-77.030902,5,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
4,1,7,-12.045286,-77.030902,6,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
5,1,7,-12.045286,-77.030902,7,687,169.519,267786.5854,42.594,31.954,113.2096,20.804,65.46,1994.158336
0,2,7,-12.045286,-77.030902,2,1901.722,259.332,2697444.912,55.585,32.018,555.403489,19.256,104.977,7348.089841
1,2,7,-12.045286,-77.030902,3,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
2,2,7,-12.045286,-77.030902,4,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
3,2,7,-12.045286,-77.030902,5,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
4,2,7,-12.045286,-77.030902,6,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
5,2,7,-12.045286,-77.030902,7,462.896,259.332,41438.3021,42.58,32.018,111.555844,19.013,104.977,7389.809296
0,3,7,-12.045286,-77.030902,2,1848.238,375.019,2170374.222,55.036,31.707,544.242241,23.551,105.144,6657.417649
1,3,7,-12.045286,-77.030902,3,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
2,3,7,-12.045286,-77.030902,4,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
3,3,7,-12.045286,-77.030902,5,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
4,3,7,-12.045286,-77.030902,6,289.149,375.019,7373.6569,42.543,31.707,117.418896,24.822,105.144,6451.623684
5,3,7,-12.045286,-77.030902,7,289.149,375.019,7373.6569,43.04,31.707,128.436889,41.919,105.144,3997.400625
0,4,7,-12.045286,-77.030902,2,194.22,405.461,44622.76008,54.783,31.497,542.237796,24.446,87.431,3967.110225
1,4,7,-12.045286,-77.030902,3,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
2,4,7,-12.045286,-77.030902,4,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
3,4,7,-12.045286,-77.030902,5,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
4,4,7,-12.045286,-77.030902,6,194.22,405.461,44622.76008,42.415,31.497,119.202724,27.59,87.431,3580.945281
5,4,7,-12.045286,-77.030902,7,194.22,405.461,44622.76008,42.305,31.497,116.812864,47.542,87.431,1591.132321
0,5,7,-12.045286,-77.030902,2,178.517,534.6,126795.1029,54.297,31.394,524.547409,22.008,50.548,814.5316
1,5,7,-12.045286,-77.030902,3,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
2,5,7,-12.045286,-77.030902,4,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
3,5,7,-12.045286,-77.030902,5,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
4,5,7,-12.045286,-77.030902,6,178.517,534.6,126795.1029,42.469,31.394,122.655625,24.361,50.548,685.758969
5,5,7,-12.045286,-77.030902,7,178.517,534.6,126795.1029,42.115,31.394,114.939841,35.255,50.548,233.875849
0,6,7,-12.045286,-77.030902,2,149.66,646.793,247141.2197,54.237,31.749,505.710144,23.182,65.265,1770.978889
1,6,7,-12.045286,-77.030902,3,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
2,6,7,-12.045286,-77.030902,4,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
3,6,7,-12.045286,-77.030902,5,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
4,6,7,-12.045286,-77.030902,6,149.66,646.793,247141.2197,42.523,31.749,116.079076,25.856,65.265,1553.069281
5,6,7,-12.045286,-77.030902,7,149.66,646.793,247141.2197,42.027,31.749,105.637284,35.676,65.265,875.508921
0,7,7,-12.045286,-77.030902,2,180.499,640.733,211815.3348,54.534,31.791,517.244049,25.979,68.415,1800.814096
1,7,7,-12.045286,-77.030902,3,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
2,7,7,-12.045286,-77.030902,4,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
3,7,7,-12.045286,-77.030902,5,180.499,640.733,211815.3348,42.514,31.791,114.982729,29.069,68.415,1548.107716
