,hour,lat,lon,k,CO_interpolate,CO_REAL,NO2_interpolate,NO2_REAL,PM25_interpolate,PM25_REAL
0,1,-12.045286,-77.030902,2,627.78515625,1105.271,11.238844871520996,18.788,19.37906837463379,26.555
1,1,-12.045286,-77.030902,3,695.02880859375,1105.271,14.92287826538086,18.788,19.66971206665039,26.555
2,1,-12.045286,-77.030902,4,752.347900390625,1105.271,17.603843688964844,18.788,25.872631072998047,26.555
3,1,-12.045286,-77.030902,5,1034.700927734375,1105.271,16.949825286865234,18.788,25.21385383605957,26.555
4,1,-12.045286,-77.030902,6,979.3037719726562,1105.271,17.903085708618164,18.788,25.07486915588379,26.555
5,1,-12.045286,-77.030902,7,917.4306030273438,1105.271,18.4857177734375,18.788,25.0945987701416,26.555
0,2,-12.045286,-77.030902,2,360.33319091796875,969.046,11.101168632507324,15.672,14.300064086914062,18.089
1,2,-12.045286,-77.030902,3,459.3756408691406,969.046,13.816099166870117,15.672,13.83071231842041,18.089
2,2,-12.045286,-77.030902,4,515.6663208007812,969.046,17.900474548339844,15.672,16.757211685180664,18.089
3,2,-12.045286,-77.030902,5,804.0552978515625,969.046,16.99070930480957,15.672,16.784570693969727,18.089
4,2,-12.045286,-77.030902,6,763.5650024414062,969.046,17.755977630615234,15.672,16.61713218688965,18.089
5,2,-12.045286,-77.030902,7,714.4918212890625,969.046,18.145219802856445,15.672,16.669105529785156,18.089
0,3,-12.045286,-77.030902,2,515.1784057617188,948.576,10.708000183105469,13.355,12.393049240112305,15.232
1,3,-12.045286,-77.030902,3,558.1617431640625,948.576,15.251977920532227,13.355,12.277366638183594,15.232
2,3,-12.045286,-77.030902,4,577.779296875,948.576,19.01064109802246,13.355,15.19045352935791,15.232
3,3,-12.045286,-77.030902,5,825.713623046875,948.576,17.28137969970703,13.355,14.966745376586914,15.232
4,3,-12.045286,-77.030902,6,764.7184448242188,948.576,17.85785675048828,13.355,14.521757125854492,15.232
5,3,-12.045286,-77.030902,7,701.7877807617188,948.576,17.994003295898438,13.355,14.300533294677734,15.232
0,4,-12.045286,-77.030902,2,546.138916015625,1090.173,18.716407775878906,23.005,9.303546905517578,15.416
1,4,-12.045286,-77.030902,3,576.5941162109375,1090.173,21.285259246826172,23.005,9.13103199005127,15.416
2,4,-12.045286,-77.030902,4,609.1995239257812,1090.173,23.402141571044922,23.005,11.326720237731934,15.416
3,4,-12.045286,-77.030902,5,913.997314453125,1090.173,22.917476654052734,23.005,11.016351699829102,15.416
